subject,session,experiment_block,experiment_phase,trial_index,top_word,bottom_word,study_answer,test_condition,test_stimulation_condition,study_response,study_time_to_respond,test_response,test_time_to_respond,log_num,log_time
SC000,0,0,ENCODING,0,PORRIDGE,GUEST,top,rearranged,0,A,3281.285190489143,none,-999,0,391247.544732121
SC000,0,0,ENCODING,1,FABRIC,COIN,bottom,rearranged,0,S,1790.5573945026845,none,-999,0,391256.544732121
SC000,0,0,ENCODING,2,PEA,RHINO,top,rearranged,0,A,1611.1921165138483,none,-999,0,391265.544732121
SC000,0,0,ENCODING,3,HOSPICE,TWEEZERS,bottom,rearranged,0,S,1902.210081985686,none,-999,0,391274.544732121
SC000,0,0,ENCODING,4,CLOUD,ORCHID,bottom,same,0,S,1624.3783115060069,none,-999,0,391283.544732121
SC000,0,0,ENCODING,5,COLOGNE,LOBSTER,bottom,same,1,A,2627.7389635215513,none,-999,0,391292.544732121
SC000,0,0,ENCODING,6,KITE,JACKET,top,same,1,A,3350.2354529919103,none,-999,0,391301.544732121
SC000,0,0,ENCODING,7,ORE,ZEBRA,top,same,0,S,1855.9440840035677,none,-999,0,391310.544732121
SC000,0,0,ENCODING,8,INCHWORM,BRIDE,top,same,1,A,1935.0095565314405,none,-999,0,391319.544732121
SC000,0,0,ENCODING,9,ELEPHANT,MARKER,bottom,same,0,S,1654.683465952985,none,-999,0,391328.544732121
SC000,0,0,ENCODING,10,VITAMIN,DAUGHTER,top,same,0,A,2287.9976395051926,none,-999,0,391337.544732121
SC000,0,0,ENCODING,11,TROUT,VISOR,top,same,1,A,2724.445589527022,none,-999,0,391346.544732121
SC000,0,0,ENCODING,12,GUITAR,WAITER,top,same,1,A,3243.840983544942,none,-999,0,391355.544732121
SC000,0,0,ENCODING,13,CAN,SNACK,bottom,same,0,A,794.1181375645101,none,-999,0,391364.544732121
SC000,0,0,ENCODING,14,ALIEN,PHONE,bottom,same,0,S,1695.548287476413,none,-999,0,391373.544732121
SC000,0,0,ENCODING,15,ALFALFA,PODIUM,top,same,0,A,1945.452326501254,none,-999,0,391382.544732121
SC000,0,0,ENCODING,16,WING,BRIEFCASE,top,same,1,A,2166.7557765031233,none,-999,0,391391.544732121
SC000,0,0,ENCODING,17,SODA,BULL,top,rearranged,1,A,649.5932679972611,none,-999,0,391400.544732121
SC000,0,0,ENCODING,18,LIQUID,MAGNOLIA,top,same,1,S,2945.397501986008,none,-999,0,391409.544732121
SC000,0,0,ENCODING,19,WHIP,POUCH,top,same,1,A,1835.439356509596,none,-999,0,391418.544732121
SC000,0,0,ENCODING,20,TURTLE,OUTFIT,top,same,0,A,2224.8014849610627,none,-999,0,391427.544732121
SC000,0,0,ENCODING,21,SAUCER,MACKEREL,bottom,same,0,S,2164.212769479491,none,-999,0,391436.544732121
SC000,0,0,ENCODING,22,CHURCH,SILKWORM,bottom,same,1,S,1536.2339559942484,none,-999,0,391445.544732121
